brand,product_id,sales
samsung,1005173,456
samsung,1005179,449
samsung,1004436,404
samsung,1003535,394
samsung,1004434,379
samsung,1005067,372
samsung,1005184,345
samsung,1005187,341
samsung,1004661,340
samsung,1003965,336
samsung,1004648,305
samsung,1005178,304
samsung,1005175,303
samsung,1005071,299
samsung,1004426,297
samsung,1005016,290
samsung,1005185,277
samsung,1002101,246
samsung,1004529,210
samsung,1004670,200
samsung,1004158,194
samsung,1004650,169
samsung,1005215,168
samsung,1003533,159
samsung,1005183,158
samsung,1002099,153
samsung,1003709,147
samsung,1004574,147
samsung,1005180,140
samsung,1003050,135
samsung,1004663,134
samsung,1004573,126
samsung,1005068,124
samsung,1004530,122
samsung,1004531,122
samsung,1004944,117
samsung,1003860,116
samsung,100045333,114
samsung,1003285,111
samsung,1004657,103
samsung,1005216,103
samsung,1003281,102
samsung,1003973,100
samsung,1002906,98
samsung,1003548,96
samsung,1005201,91
samsung,1005181,84
samsung,1002100,83
samsung,1003532,81
samsung,100047572,79
samsung,1005284,76
samsung,1004528,75
samsung,100047538,75
samsung,1004945,73
samsung,1002102,71
samsung,1004016,68
samsung,1003048,64
samsung,1003854,64
samsung,1003208,61
samsung,100045368,61
samsung,1003224,54
samsung,1004666,53
samsung,100047557,53
samsung,1003051,50
samsung,1004159,49
samsung,1003953,48
samsung,1003039,47
samsung,1002062,46
samsung,1003052,46
samsung,100045328,44
samsung,1003852,43
samsung,1004432,43
samsung,100047534,41
samsung,100047554,41
samsung,1002098,39
samsung,100047581,39
samsung,100045396,38
samsung,1003209,34
samsung,1004671,34
samsung,18000799,34
samsung,1004435,33
samsung,1000978,32
samsung,100047586,32
samsung,1004662,31
samsung,100030560,31
samsung,1003534,30
samsung,1004015,30
samsung,1005176,30
samsung,100047541,30
samsung,100047576,30
samsung,1004972,27
samsung,1002905,25
samsung,100047559,24
samsung,1003718,23
samsung,1003857,23
samsung,1003859,23
samsung,100045315,23
samsung,100045394,23
samsung,100036820,22
samsung,1003507,21
samsung,1003713,20
samsung,18001325,20
samsung,1003238,19
samsung,1004978,19
samsung,1003604,18
samsung,18000817,18
samsung,1003049,17
samsung,1003714,17
samsung,1003966,17
samsung,100015658,17
samsung,100030576,17
samsung,100045377,16
samsung,1004157,15
samsung,1002876,14
samsung,1003911,14
samsung,1004973,14
samsung,1003716,13
samsung,1004424,13
samsung,1003861,11
samsung,1003951,11
samsung,18000909,11
samsung,18000929,11
samsung,1004381,10
samsung,1002103,9
samsung,1005154,9
samsung,18000055,8
samsung,18000196,8
samsung,100045389,8
samsung,100047578,8
samsung,1002877,7
samsung,1003866,7
samsung,1003710,6
samsung,1002266,5
samsung,1004660,5
samsung,18000079,5
